ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,NetIncomeLoss,2017,10-K,FY,2017-03-01,631000000,USD,NetIncomeLoss,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,EarningsPerShareBasic,2017,10-K,FY,2017-03-01,1.14,USD/shares,EarningsPerShareBasic,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,EarningsPerShareDiluted,2017,10-K,FY,2017-03-01,1.12,USD/shares,EarningsPerShareDiluted,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,OperatingIncomeLoss,2017,10-K,FY,2017-03-01,759000000,USD,OperatingIncomeLoss,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,GrossProfit,2017,10-K,FY,2017-03-01,2599000000,USD,GrossProfit,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,ResearchAndDevelopmentExpense,2017,10-K,FY,2017-03-01,1360000000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2017,10-K,FY,2017-03-01,480000000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,Assets,2017,10-K,FY,2017-03-01,7370000000,USD,Assets,primary,,0001045810-17-000027,,2016-01-31
NVDA,0001045810,Liabilities,2017,10-K,FY,2017-03-01,2814000000,USD,Liabilities,primary,,0001045810-17-000027,,2016-01-31
NVDA,0001045810,StockholdersEquity,2017,10-K,FY,2017-03-01,4455000000,USD,StockholdersEquity,primary,,0001045810-17-000027,,2014-01-26
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2017,10-K,FY,2017-03-01,1152000000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-17-000027,,2014-01-26
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2017,10-K,FY,2017-03-01,906000000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,LongTermDebt,2017,10-K,FY,2017-03-01,0,USD,LongTermDebt,primary,,0001045810-17-000027,,2016-01-31
NVDA,0001045810,CostOfRevenue,2017,10-K,FY,2017-03-01,2083000000,USD,CostOfRevenue,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,OperatingExpenses,2017,10-K,FY,2017-03-01,1840000000,USD,OperatingExpenses,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,IncomeTaxExpenseBenefit,2017,10-K,FY,2017-03-01,124000000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-17-000027,2014-01-27,2015-01-25
NVDA,0001045810,AccountsReceivableNetCurrent,2017,10-K,FY,2017-03-01,505000000,USD,AccountsReceivableNetCurrent,primary,,0001045810-17-000027,,2016-01-31
NVDA,0001045810,Revenues,2017,10-Q,Q3,2016-11-22,3609000000,USD,Revenues,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,NetIncomeLoss,2017,10-Q,Q3,2016-11-22,406000000,USD,NetIncomeLoss,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,EarningsPerShareBasic,2017,10-Q,Q3,2016-11-22,0.75,USD/shares,EarningsPerShareBasic,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,EarningsPerShareDiluted,2017,10-Q,Q3,2016-11-22,0.72,USD/shares,EarningsPerShareDiluted,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,OperatingIncomeLoss,2017,10-Q,Q3,2016-11-22,495000000,USD,OperatingIncomeLoss,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,GrossProfit,2017,10-Q,Q3,2016-11-22,2020000000,USD,GrossProfit,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,ResearchAndDevelopmentExpense,2017,10-Q,Q3,2016-11-22,987000000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2017,10-Q,Q3,2016-11-22,441000000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,Assets,2017,10-Q,Q3,2016-11-22,7370000000,USD,Assets,primary,,0001045810-16-000353,,2016-01-31
NVDA,0001045810,Liabilities,2017,10-Q,Q3,2016-11-22,2814000000,USD,Liabilities,primary,,0001045810-16-000353,,2016-01-31
NVDA,0001045810,StockholdersEquity,2017,10-Q,Q3,2016-11-22,4469000000,USD,StockholdersEquity,primary,,0001045810-16-000353,,2016-01-31
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2017,10-Q,Q3,2016-11-22,497000000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-16-000353,,2015-01-25
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2017,10-Q,Q3,2016-11-22,664000000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,PaymentsToAcquirePropertyPlantAndEquipment,2017,10-Q,Q3,2016-11-22,71000000,USD,PaymentsToAcquirePropertyPlantAndEquipment,primary,,0001045810-16-000353,2015-01-26,2015-10-25
NVDA,0001045810,LongTermDebt,2017,10-Q,Q3,2016-11-22,0,USD,LongTermDebt,primary,,0001045810-16-000353,,2016-01-31
