ticker,cik,fy,form,metric,tag_used,value,unit,filed,fp,start,end,source
NVDA,0001045810,2023,10-K,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,5822000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,NetIncomeLoss,NetIncomeLoss,4332000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,OperatingExpenses,OperatingExpenses,5864000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,OperatingIncomeLoss,OperatingIncomeLoss,4532000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,3924000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,Revenues,Revenues,16675000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,SellingGeneralAndAdministrativeExpense,SellingGeneralAndAdministrativeExpense,1940000000.0,USD,2023-02-24,FY,2020-01-27,2021-01-31,primary
NVDA,0001045810,2023,10-K,StockholdersEquity,StockholdersEquity,12204000000.0,USD,2023-02-24,FY,,2020-01-26,primary
NVDA,0001045810,2023,10-Q,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,4650000000.0,USD,2022-11-18,Q3,,2022-01-30,primary
NVDA,0001045810,2023,10-Q,Assets,Assets,44187000000.0,USD,2022-11-18,Q3,,2022-01-30,primary
NVDA,0001045810,2023,10-Q,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,1990000000.0,USD,2022-11-18,Q3,,2022-01-30,primary
NVDA,0001045810,2023,10-Q,CostOfRevenue,CostOfRevenue,6795000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,EarningsPerShareBasic,EarningsPerShareBasic,2.71,USD/shares,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,EarningsPerShareDiluted,EarningsPerShareDiluted,2.67,USD/shares,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,GrossProfit,GrossProfit,12476000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,327000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,Liabilities,Liabilities,17575000000.0,USD,2022-11-18,Q3,,2022-01-30,primary
NVDA,0001045810,2023,10-Q,LongTermDebt,LongTermDebt,10946000000.0,USD,2022-11-18,Q3,,2022-01-30,primary
NVDA,0001045810,2023,10-Q,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,6075000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,NetIncomeLoss,NetIncomeLoss,6749000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,OperatingExpenses,OperatingExpenses,5405000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,OperatingIncomeLoss,OperatingIncomeLoss,7071000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
NVDA,0001045810,2023,10-Q,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,3802000000.0,USD,2022-11-18,Q3,2021-02-01,2021-10-31,primary
